19.04.2024;13:51:52;22,00;69,6
19.04.2024;13:51:53;21,00;70,0
19.04.2024;13:51:54;25,00;72,0
19.04.2024;13:51:55;26,00;53,0
19.04.2024;13:51:56;19,00;48,0
19.04.2024;13:51:57;26,00;58,0
19.04.2024;13:51:58;22,00;79,0
19.04.2024;13:51:59;28,00;47,0
19.04.2024;13:52:00;19,00;58,0
19.04.2024;13:52:01;17,00;34,0
19.04.2024;13:52:02;27,00;55,0
19.04.2024;13:52:03;30,00;57,0
19.04.2024;13:52:04;25,00;70,0
19.04.2024;13:52:05;22,00;59,0
19.04.2024;13:52:06;32,00;36,0
19.04.2024;13:52:07;30,00;58,0
19.04.2024;13:52:08;27,00;52,0
19.04.2024;13:52:09;30,00;69,0
19.04.2024;13:52:10;24,00;84,0
19.04.2024;13:52:11;18,00;63,0
19.04.2024;13:52:12;17,00;34,0
19.04.2024;13:52:13;32,00;61,0
19.04.2024;13:52:14;23,00;79,0
19.04.2024;13:52:15;31,00;84,0
19.04.2024;13:52:16;23,00;32,0
19.04.2024;13:52:17;31,00;63,0
19.04.2024;13:52:18;24,00;67,0
19.04.2024;13:52:19;20,00;61,0
19.04.2024;13:52:20;17,00;32,0
19.04.2024;13:52:21;23,00;80,0
19.04.2024;13:52:22;29,00;74,0
19.04.2024;13:52:23;31,00;73,0
19.04.2024;13:52:24;25,00;30,0
19.04.2024;13:52:25;31,00;51,0
19.04.2024;13:52:26;23,00;58,0
19.04.2024;13:52:27;21,00;57,0
19.04.2024;13:52:28;18,00;71,0
19.04.2024;13:52:29;28,00;79,0
19.04.2024;13:52:30;28,00;58,0
19.04.2024;13:52:31;32,00;41,0
19.04.2024;13:52:32;20,00;54,0
19.04.2024;13:52:33;32,00;58,0
19.04.2024;13:52:34;32,00;77,0
19.04.2024;13:52:35;29,00;57,0
19.04.2024;13:52:36;26,00;44,0
19.04.2024;13:52:37;30,00;66,0
19.04.2024;13:52:38;32,00;45,0
19.04.2024;13:52:39;19,00;74,0
19.04.2024;13:52:40;31,00;55,0
19.04.2024;13:52:41;29,00;34,0
19.04.2024;13:52:42;23,00;54,0
19.04.2024;13:52:43;23,00;66,0
19.04.2024;13:52:44;25,00;70,0
19.04.2024;13:52:45;24,00;82,0
19.04.2024;13:52:46;17,00;40,0
19.04.2024;13:52:47;20,00;82,0
19.04.2024;13:52:48;25,00;59,0
19.04.2024;13:52:49;31,00;52,0
19.04.2024;13:52:50;25,00;37,0
19.04.2024;13:52:51;26,00;69,0
19.04.2024;13:52:52;25,00;82,0
19.04.2024;13:52:53;21,00;83,0
19.04.2024;13:52:54;18,00;66,0
19.04.2024;13:52:55;28,00;32,0
19.04.2024;13:52:56;25,00;74,0
19.04.2024;13:52:57;17,00;31,0
19.04.2024;13:52:58;23,00;65,0
19.04.2024;13:52:59;29,00;72,0
19.04.2024;13:53:00;25,00;48,0
19.04.2024;13:53:01;30,00;43,0
19.04.2024;13:53:02;27,00;75,0
19.04.2024;13:53:03;22,00;57,0
19.04.2024;13:53:04;25,00;36,0
19.04.2024;13:53:05;22,00;39,0
19.04.2024;13:53:06;24,00;69,0
19.04.2024;13:53:07;20,00;59,0
19.04.2024;13:53:08;17,00;32,0
19.04.2024;13:53:09;20,00;67,0
19.04.2024;13:53:10;23,00;52,0
19.04.2024;13:53:11;30,00;64,0
19.04.2024;13:53:12;27,00;43,0
19.04.2024;13:53:13;31,00;79,0
19.04.2024;13:53:14;19,00;63,0
19.04.2024;13:53:15;20,00;81,0
19.04.2024;13:53:16;27,00;76,0
19.04.2024;13:53:17;23,00;51,0
19.04.2024;13:53:18;23,00;56,0
19.04.2024;13:53:19;26,00;73,0
19.04.2024;13:53:20;17,00;43,0
19.04.2024;13:53:21;24,00;42,0
19.04.2024;13:53:22;22,00;81,0
19.04.2024;13:53:23;32,00;54,0
19.04.2024;13:53:24;18,00;83,0
19.04.2024;13:53:25;27,00;50,0
19.04.2024;13:53:26;28,00;77,0
19.04.2024;13:53:27;20,00;76,0
19.04.2024;13:53:28;31,00;52,0
19.04.2024;13:53:29;24,00;81,0
19.04.2024;13:53:30;22,00;51,0
19.04.2024;13:53:31;27,00;38,0
19.04.2024;13:53:32;25,00;80,0
19.04.2024;13:53:33;18,00;42,0
19.04.2024;13:53:34;28,00;58,0
19.04.2024;13:53:35;23,00;56,0
19.04.2024;13:53:36;21,00;51,0
19.04.2024;13:53:37;18,00;68,0
19.04.2024;13:53:38;32,00;71,0
19.04.2024;13:53:39;28,00;51,0
19.04.2024;13:53:40;17,00;77,0
19.04.2024;13:53:41;28,00;61,0
19.04.2024;13:53:42;20,00;54,0
19.04.2024;13:53:43;18,00;68,0
19.04.2024;13:53:44;26,00;36,0
19.04.2024;13:53:45;17,00;68,0
19.04.2024;13:53:46;20,00;79,0
19.04.2024;13:53:47;25,00;68,0
19.04.2024;13:53:48;17,00;73,0
19.04.2024;13:53:49;26,00;57,0
19.04.2024;13:53:50;28,00;52,0
19.04.2024;13:53:51;22,00;40,0
19.04.2024;13:53:52;32,00;71,0
19.04.2024;13:53:53;19,00;66,0
19.04.2024;13:53:54;25,00;51,0
19.04.2024;13:53:55;27,00;36,0
19.04.2024;13:53:56;18,00;77,0
19.04.2024;13:53:57;19,00;50,0
19.04.2024;13:53:58;19,00;55,0
19.04.2024;13:53:59;23,00;53,0
19.04.2024;13:54:00;30,00;60,0
19.04.2024;13:54:01;17,00;45,0
19.04.2024;13:54:02;22,00;62,0
19.04.2024;13:54:03;18,00;76,0
19.04.2024;13:54:04;23,00;79,0
19.04.2024;13:54:05;30,00;49,0
