20.50 ; 01-01-2023
21.32 ; 02-01-2023
19.87 ; 03-01-2023
20.21 ; 04-01-2023
21.10 ; 05-01-2023
19.45 ; 06-01-2023
20.34 ; 07-01-2023
20.89 ; 08-01-2023
19.98 ; 09-01-2023
21.22 ; 10-01-2023
20.65 ; 11-01-2023
21.47 ; 12-01-2023
20.53 ; 13-01-2023
19.67 ; 14-01-2023
21.14 ; 15-01-2023
20.77 ; 16-01-2023
21.39 ; 17-01-2023
19.74 ; 18-01-2023
20.88 ; 19-01-2023
21.26 ; 20-01-2023
20.43 ; 21-01-2023
21.58 ; 22-01-2023
20.36 ; 23-01-2023
21.11 ; 24-01-2023
20.49 ; 25-01-2023
19.97 ; 26-01-2023
21.05 ; 27-01-2023
20.77 ; 28-01-2023
21.02 ; 29-01-2023
20.31 ; 30-01-2023
20.93 ; 31-01-2023
20.60 ; 01-02-2023
21.44 ; 02-02-2023
20.87 ; 03-02-2023
21.19 ; 04-02-2023
20.38 ; 05-02-2023
21.41 ; 06-02-2023
20.56 ; 07-02-2023
21.28 ; 08-02-2023
20.94 ; 09-02-2023
20.68 ; 10-02-2023
21.33 ; 11-02-2023
20.52 ; 12-02-2023
21.47 ; 13-02-2023
20.80 ; 14-02-2023
21.04 ; 15-02-2023
20.37 ; 16-02-2023
21.45 ; 17-02-2023
20.69 ; 18-02-2023
21.22 ; 19-02-2023
20.63 ; 20-02-2023
21.38 ; 21-02-2023
20.54 ; 22-02-2023
21.49 ; 23-02-2023
20.77 ; 24-02-2023
21.14 ; 25-02-2023
20.41 ; 26-02-2023
21.42 ; 27-02-2023
20.59 ; 28-02-2023
20.76 ; 01-03-2023
21.39 ; 02-03-2023
20.61 ; 03-03-2023
21.35 ; 04-03-2023
20.83 ; 05-03-2023
21.27 ; 06-03-2023
20.49 ; 07-03-2023
21.41 ; 08-03-2023
20.74 ; 09-03-2023
21.36 ; 10-03-2023
20.60 ; 11-03-2023
21.30 ; 12-03-2023
20.53 ; 13-03-2023
21.48 ; 14-03-2023
20.68 ; 15-03-2023
21.15 ; 16-03-2023
20.82 ; 17-03-2023
21.21 ; 18-03-2023
20.56 ; 19-03-2023
21.43 ; 20-03-2023
20.85 ; 21-03-2023
21.10 ; 22-03-2023
20.67 ; 23-03-2023
21.18 ; 24-03-2023
20.74 ; 25-03-2023
21.29 ; 26-03-2023
20.54 ; 27-03-2023
21.47 ; 28-03-2023
20.65 ; 29-03-2023
21.33 ; 30-03-2023
20.62 ; 31-03-2023
21.44 ; 01-04-2023
20.79 ; 02-04-2023
21.20 ; 03-04-2023
20.68 ; 04-04-2023
21.37 ; 05-04-2023
20.59 ; 06-04-2023
21.29 ; 07-04-2023
20.75 ; 08-04-2023
21.16 ; 09-04-2023
20.83 ; 10-04-2023
21.11 ; 11-04-2023
20.68 ; 12-04-2023
21.39 ; 13-04-2023
20.52 ; 14-04-2023
21.48 ; 15-04-2023
20.73 ; 16-04-2023
21.14 ; 17-04-2023
20.82 ; 18-04-2023
21.25 ; 19-04-2023
20.54 ; 20-04-2023
21.42 ; 21-04-2023
20.66 ; 22-04-2023
21.30 ; 23-04-2023
20.61 ; 24-04-2023
21.41 ; 25-04-2023
20.76 ; 26-04-2023
21.12 ; 27-04-2023
20.69 ; 28-04-2023
21.27 ; 29-04-2023
20.55 ; 30-04-2023
21.36 ; 01-05-2023
20.79 ; 02-05-2023
21.15 ; 03-05-2023
20.81 ; 04-05-2023
21.28 ; 05-05-2023
20.64 ; 06-05-2023
21.40 ; 07-05-2023
20.58 ; 08-05-2023
21.33 ; 09-05-2023
20.69 ; 10-05-2023
21.20 ; 11-05-2023
20.86 ; 12-05-2023
21.09 ; 13-05-2023
20.75 ; 14-05-2023
21.30 ; 15-05-2023
20.56 ; 16-05-2023
21.44 ; 17-05-2023
20.82 ; 18-05-2023
21.12 ; 19-05-2023
20.67 ; 20-05-2023
21.28 ; 21-05-2023
20.79 ; 22-05-2023
21.23 ; 23-05-2023
20.54 ; 24-05-2023
21.47 ; 25-05-2023
20.66 ; 26-05-2023
21.36 ; 27-05-2023
20.81 ; 28-05-2023
